yearmonth,msl_mm
1/1/1922,6768
2/1/1922,6853
3/1/1922,6838
4/1/1922,6832
5/1/1922,6914
6/1/1922,6893
7/1/1922,6838
8/1/1922,6878
9/1/1922,7064
10/1/1922,6997
11/1/1922,6924
12/1/1922,6789
1/1/1923,6805
2/1/1923,6832
3/1/1923,6759
4/1/1923,6863
5/1/1923,6948
6/1/1923,6860
7/1/1923,6823
8/1/1923,6783
9/1/1923,6917
10/1/1923,7018
11/1/1923,6957
12/1/1923,6780
1/1/1924,6725
2/1/1924,6844
3/1/1924,6820
4/1/1924,6826
5/1/1924,6817
6/1/1924,6835
7/1/1924,6887
8/1/1924,6933
9/1/1924,7076
10/1/1924,7082
11/1/1924,6945
12/1/1924,6820
1/1/1925,6905
2/1/1925,6872
3/1/1925,6853
4/1/1925,6905
5/1/1925,6908
6/1/1925,6899
7/1/1925,6902
8/1/1925,7012
9/1/1925,6997
10/1/1925,6896
11/1/1925,6948
12/1/1925,6765
1/1/1926,6698
2/1/1926,6680
3/1/1926,6719
4/1/1926,6789
5/1/1926,6856
6/1/1926,6890
7/1/1926,6856
8/1/1926,6908
9/1/1926,7052
10/1/1926,6966
11/1/1926,6835
12/1/1926,6814
1/1/1927,6738
2/1/1927,6759
3/1/1927,6853
4/1/1927,6881
5/1/1927,6841
6/1/1927,6908
7/1/1927,6820
8/1/1927,6893
9/1/1927,6924
10/1/1927,6942
11/1/1927,6881
12/1/1927,6872
1/1/1928,6637
2/1/1928,6750
3/1/1928,6805
4/1/1928,6805
5/1/1928,6927
6/1/1928,6820
7/1/1928,6847
8/1/1928,6917
9/1/1928,6988
10/1/1928,7030
11/1/1928,6930
12/1/1928,6936
1/1/1929,6725
2/1/1929,6893
3/1/1929,6774
4/1/1929,6847
5/1/1929,6820
6/1/1929,6984
7/1/1929,6875
8/1/1929,6890
9/1/1929,7009
10/1/1929,6945
11/1/1929,6933
12/1/1929,6771
1/1/1930,6924
2/1/1930,6875
3/1/1930,6768
4/1/1930,6872
5/1/1930,6796
6/1/1930,6856
7/1/1930,6796
8/1/1930,6884
9/1/1930,6850
10/1/1930,7012
11/1/1930,6875
12/1/1930,6826
1/1/1931,6735
2/1/1931,6863
3/1/1931,6917
4/1/1931,6774
5/1/1931,6762
6/1/1931,6805
7/1/1931,6811
8/1/1931,6756
9/1/1931,6896
10/1/1931,6966
11/1/1931,6847
12/1/1931,6860
1/1/1932,6799
2/1/1932,6832
3/1/1932,6744
4/1/1932,6786
5/1/1932,6856
6/1/1932,6884
7/1/1932,6786
8/1/1932,6902
9/1/1932,7085
10/1/1932,6972
11/1/1932,7015
12/1/1932,6927
1/1/1933,6896
2/1/1933,6829
3/1/1933,6823
4/1/1933,6954
5/1/1933,6887
6/1/1933,6939
7/1/1933,6914
8/1/1933,7000
9/1/1933,7006
10/1/1933,7113
11/1/1933,6939
12/1/1933,6823
1/1/1934,6774
2/1/1934,6796
3/1/1934,6777
4/1/1934,6841
5/1/1934,6899
6/1/1934,6814
7/1/1934,6814
8/1/1934,6805
9/1/1934,6966
10/1/1934,7097
11/1/1934,6914
12/1/1934,6860
1/1/1935,6930
2/1/1935,6823
3/1/1935,6826
4/1/1935,6920
5/1/1935,6905
6/1/1935,6896
7/1/1935,6838
8/1/1935,6911
9/1/1935,7009
10/1/1935,7039
11/1/1935,7085
12/1/1935,6847
1/1/1936,6768
2/1/1936,6847
3/1/1936,6783
4/1/1936,6866
5/1/1936,6972
6/1/1936,7006
7/1/1936,6847
8/1/1936,6930
9/1/1936,7055
10/1/1936,7094
11/1/1936,6896
12/1/1936,6963
1/1/1937,6902
2/1/1937,6945
3/1/1937,6869
4/1/1937,6890
5/1/1937,6963
6/1/1937,6902
7/1/1937,6853
8/1/1937,6945
9/1/1937,7079
10/1/1937,7064
11/1/1937,6936
12/1/1937,6869
1/1/1938,6835
2/1/1938,6863
3/1/1938,6856
4/1/1938,6796
5/1/1938,6914
6/1/1938,6917
7/1/1938,6878
8/1/1938,6863
9/1/1938,7000
10/1/1938,7134
11/1/1938,7073
12/1/1938,6924
1/1/1939,6817
2/1/1939,6786
3/1/1939,6866
4/1/1939,6835
5/1/1939,6951
6/1/1939,6911
7/1/1939,6927
8/1/1939,6890
9/1/1939,7097
10/1/1939,7031
11/1/1939,6951
12/1/1939,6808
1/1/1940,6753
2/1/1940,6765
3/1/1940,6841
4/1/1940,6799
5/1/1940,6902
6/1/1940,6844
7/1/1940,6881
8/1/1940,7079
9/1/1940,7100
10/1/1940,7088
11/1/1940,6945
12/1/1940,6881
1/1/1941,6917
2/1/1941,6866
3/1/1941,6771
4/1/1941,6866
5/1/1941,6838
6/1/1941,6927
7/1/1941,6838
8/1/1941,6878
9/1/1941,7012
10/1/1941,7006
11/1/1941,6963
12/1/1941,6847
1/1/1942,6832
2/1/1942,6917
3/1/1942,6762
4/1/1942,6905
5/1/1942,6957
6/1/1942,6960
7/1/1942,6893
8/1/1942,6942
9/1/1942,7039
10/1/1942,7164
11/1/1942,6991
12/1/1942,6853
1/1/1943,6826
2/1/1943,6783
3/1/1943,6896
4/1/1943,6936
5/1/1943,6988
6/1/1943,6972
7/1/1943,6924
8/1/1943,7009
9/1/1943,7131
10/1/1943,7155
11/1/1943,6981
12/1/1943,6902
1/1/1944,6917
2/1/1944,6884
3/1/1944,6945
4/1/1944,6963
5/1/1944,7021
6/1/1944,7058
7/1/1944,7052
8/1/1944,7006
9/1/1944,7061
10/1/1944,7128
11/1/1944,7036
12/1/1944,6860
1/1/1945,6863
2/1/1945,6783
3/1/1945,6826
4/1/1945,6954
5/1/1945,6930
6/1/1945,6936
7/1/1945,6966
8/1/1945,6969
9/1/1945,7085
10/1/1945,7183
11/1/1945,7021
12/1/1945,7000
1/1/1946,6890
2/1/1946,6826
3/1/1946,6945
4/1/1946,6981
5/1/1946,6978
6/1/1946,6942
7/1/1946,6951
8/1/1946,6951
9/1/1946,7134
10/1/1946,7216
11/1/1946,7149
12/1/1946,6977
1/1/1947,6927
2/1/1947,6820
3/1/1947,6841
4/1/1947,6890
5/1/1947,6927
6/1/1947,7061
7/1/1947,6969
8/1/1947,6988
9/1/1947,7170
10/1/1947,7180
11/1/1947,7232
12/1/1947,7097
1/1/1948,6997
2/1/1948,7042
3/1/1948,7061
4/1/1948,7067
5/1/1948,7079
6/1/1948,7067
7/1/1948,6972
8/1/1948,7036
9/1/1948,7241
10/1/1948,7237
11/1/1948,7125
12/1/1948,7006
1/1/1949,6890
2/1/1949,6951
3/1/1949,6905
4/1/1949,6948
5/1/1949,7061
6/1/1949,7091
7/1/1949,7030
8/1/1949,7021
9/1/1949,7167
10/1/1949,7250
11/1/1949,6988
12/1/1949,6984
1/1/1950,6850
2/1/1950,6920
3/1/1950,6908
4/1/1950,6960
5/1/1950,7015
6/1/1950,6963
7/1/1950,6838
8/1/1950,7039
9/1/1950,7123
10/1/1950,7137
11/1/1950,6905
12/1/1950,6930
1/1/1951,6872
2/1/1951,6878
3/1/1951,6954
4/1/1951,6939
5/1/1951,6984
6/1/1951,7015
7/1/1951,6893
8/1/1951,6975
9/1/1951,7070
10/1/1951,7231
11/1/1951,7052
12/1/1951,6945
1/1/1952,6902
2/1/1952,6957
3/1/1952,6969
4/1/1952,6927
5/1/1952,7003
6/1/1952,6911
7/1/1952,6945
8/1/1952,6988
9/1/1952,7152
10/1/1952,7131
11/1/1952,6988
12/1/1952,7000
1/1/1953,6850
2/1/1953,6811
3/1/1953,6905
4/1/1953,6924
5/1/1953,6896
6/1/1953,7018
7/1/1953,6975
8/1/1953,7045
9/1/1953,7152
10/1/1953,7167
11/1/1953,7045
12/1/1953,6930
1/1/1954,6896
2/1/1954,6951
3/1/1954,6856
4/1/1954,7003
5/1/1954,7061
6/1/1954,7079
7/1/1954,6997
8/1/1954,6948
9/1/1954,7039
